,modelname,check,check_compound,checkTF,checkTF_compound,norm,norm_compound,lognorm,lognorm_compound,normX,normX_compound,lognormX,lognormX_compound,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,spectralnorm,spectralnorm_compound,logspectralnorm,logspectralnorm_compound,softrank,softrank_compound,softranklog,softranklog_compound,softranklogratio,softranklogratio_compound,sigma_mp,sigma_mp_compound,numofSpikes,numofSpikes_compound,ratio_numofSpikes,ratio_numofSpikes_compound,softrank_mp,softrank_mp_compound,logpnorm,logpnorm_compound
0,wrn28_10_cifar100,0.8737253905307419,0.773567160530501,0.925764192139738,0.8122605363984675,10.79747486114502,10.65206241607666,0.9969380497932434,0.9884056448936462,0.03782894462347031,0.03619549795985222,-1.449159502983093,-1.488418817520142,3.182564547133748,3.321610554254013,-5.889556347328143,-6.415570405684268,0.07372961938381195,0.06579893082380295,-1.724363684654236,-1.787941217422485,23.79857622424845,24.74557875109618,1.291881531634018,1.310130847063378,2.025798320770264,-5.232954978942871,0.7093642113095241,0.6673781383547012,0.0,0.0,0.0,0.0,143.9044699493616,138.3491141731046,-5.428285198865184,-5.944612375955429
1,wrn28_10_svhn,0.6014194766638742,0.533661003576954,0.4497816593886463,0.3946360153256704,6.504676818847656,6.296168327331543,0.783710777759552,0.7664691209793091,0.01670300029218197,0.015747195109725,-1.807655930519104,-1.856520891189575,2.411481620522856,2.483834827425355,-5.239291624853689,-5.567199957056874,0.05167506262660027,0.04596711695194244,-2.046835899353027,-2.096122264862061,18.78200432770682,18.91354568312783,1.208543519213429,1.212287192226548,5.927285671234131,5.07880687713623,0.7227104982805026,0.6926510850694446,0.0,0.0,0.0,0.0,336.5533196565714,326.3159315391767,-4.641690143703306,-4.992450965852455
2,wrn40_8_cifar10,0.5326024178224086,0.4924094058099452,0.3264094955489614,0.2981029810298103,5.558056354522705,5.492968082427979,0.7126373648643494,0.7083390355110168,0.01872739568352699,0.01813804544508457,-1.795630216598511,-1.816995143890381,2.571325367951323,2.592990684170564,-5.556341910709664,-5.712281849539783,0.03363476693630219,0.03147648274898529,-2.066284656524658,-2.087095499038696,16.80111081245706,17.52884236677583,1.145518713673358,1.16144597723555,9.297420501708984,8.505461692810059,0.7405466285488961,0.7193792229729732,0.0,0.0,0.0,0.0,368.4707621110148,360.0518818247988,-5.002735633747144,-5.142759418512576
3,wrn40_8_cifar100,0.791672772293024,0.7284884761430662,0.9525222551928784,0.8699186991869919,8.735812187194824,8.755585670471191,0.9000056982040405,0.8997886180877686,0.03407914564013481,0.03350780159235001,-1.505806446075439,-1.522121906280518,3.233074078896967,3.189066905105923,-6.173475975953125,-6.13985848581739,0.05558130890130997,0.05168820172548294,-1.805094242095947,-1.83454954624176,21.81316291169822,22.31248480680649,1.256032881815879,1.26811716300048,3.890203952789307,2.721530437469482,0.7189412895538523,0.6895419008132312,0.0,0.0,0.0,0.0,173.5184914621128,165.9700094688068,-5.717918171782445,-5.656400457435016
4,wrn40_8_svhn,0.5379017966859486,0.495928478409818,0.3293768545994065,0.3008130081300813,5.411185264587402,5.329014778137207,0.7012434005737305,0.6943574547767639,0.01611326076090336,0.01558231003582478,-1.836120367050171,-1.858726859092712,2.471124367912673,2.517961371951337,-5.384844167465419,-5.568372672382834,0.03934363275766373,0.03646332025527954,-2.08790922164917,-2.107850074768066,16.31708171548163,16.34355284018061,1.154966346554606,1.156105870027673,4.483437538146973,3.38366174697876,0.7340791970623031,0.7132225389451954,0.0,0.0,0.0,0.0,370.7432745135426,358.6044487845048,-4.83410297145317,-5.031323703763849
5,wrn20_10_1bit_cifar10,0.6078809787393364,0.590826561652096,0.2209302325581395,0.2111111111111111,5.463042259216309,5.463042259216309,0.7220104932785034,0.7220104932785034,0.016680758446455,0.01668076030910015,-1.852882146835327,-1.852881908416748,2.262898164538204,2.262898164538205,-5.009321008827377,-5.009321008827377,0.01433566678315401,0.01552877761423588,-2.121746301651001,-2.08901572227478,15.64201559493257,15.64201559493257,1.126390464167071,1.126390464167071,8.15127182006836,8.15127182006836,0.724364390432099,0.7243643904320991,0.0,0.0,0.0,0.0,409.0655904238755,409.0655904238754,-4.387920084310649,-4.387920084310649
6,wrn20_10_1bit_cifar100,1.217084173948313,1.170397675704392,0.9418604651162791,0.9,12.18756771087646,13.01196575164795,1.050642371177673,1.070464730262756,0.05896320939064026,0.06391444802284241,-1.265366792678833,-1.242802500724792,3.019738977079452,3.051247413368877,-5.102233410252238,-5.075753167625828,0.04738360270857811,0.04790530353784561,-1.564468860626221,-1.54952597618103,20.92765442223519,21.04724324039097,1.219872295452821,1.226931817663381,2.474470853805542,2.446131229400635,0.7157264906058284,0.6962772980628656,0.0,0.0,0.0,0.0,96.61108409171136,92.22991534002642,-4.589450899942877,-4.566891017841853
7,wrn20_10_1bit_svhn,0.412344631052276,0.4033148946881119,0.0,0.0,4.207034111022949,4.207033634185791,0.6016018986701965,0.6016018390655518,0.00970454141497612,0.00970454141497612,-2.056444644927979,-2.056444883346558,1.857187462439561,1.857187462439561,-4.396563453126099,-4.396563453126099,0.008200038224458694,0.009682049974799156,-2.307925939559937,-2.266750335693359,13.31385282988065,13.31385282988065,1.067781928177317,1.067781928177317,-8.780537605285645,-8.780538558959961,0.7306577932098767,0.7306577932098768,0.0,0.0,0.0,0.0,568.4906058329368,568.4906058329367,-3.723475458346553,-3.723475458346554
8,wrn20_10_32bit_cifar10,0.7620433137286757,0.7317784286321741,0.8430232558139535,0.8055555555555556,7.858784198760986,7.858785152435303,0.8828274011611938,0.8828273415565491,0.02804706990718842,0.02804706804454327,-1.589951515197754,-1.589951395988464,2.668368211912427,2.668368211912427,-5.337605249703112,-5.337605249703112,0.01765078119933605,0.01709966920316219,-1.926721930503845,-1.942413330078125,19.65065301765337,19.65065301765337,1.233039933031171,1.233039933031171,3.612799644470215,3.612799644470215,0.7148451967592595,0.7148451967592594,0.0,0.0,0.0,0.0,223.7457029757488,223.7457029757489,-4.727971664317895,-4.727971664317895
9,wrn20_10_32bit_cifar100,1.048233370824109,1.004386002619617,0.9418604651162791,0.9,11.2903470993042,11.27823543548584,1.029443264007568,1.030060172080994,0.04558875039219856,0.04451791197061539,-1.367258667945862,-1.380204796791077,3.52247034072175,3.517543123121235,-6.498974557087979,-6.528625212466748,0.02788816019892693,0.02701216004788876,-1.723291635513306,-1.739471673965454,26.2779124848948,26.1362591049741,1.324644477584732,1.326599088813162,2.943146705627441,2.941169023513794,0.7003635448619634,0.6816330866228073,0.0,0.0,0.0,0.0,133.7764058584451,128.5201713732808,-6.020645446187396,-6.048644313074105
