layer_id,layer_type,N,M,level,comment,check,checkTF,norm,log_norm,normX,lognormX,alpha,alpha_weighted,spectral_norm,log_spectral_norm,stable_rank,log_stable_rank,softranklogratio,sigma_mp,numofSpikes,ratio_numofSpikes,mp_softrank,log_alpha_norm,NxM
12,CONV2D,64,64,LEVEL.SLICE,Slice level,0.06834927201271057,False,3.093134880065918,0.4903988540172577,2.296679973602295,0.3611004948616028,1.5664616132974158,-0.02820715606514692,0.9593856930732727,-0.018006762489676476,9.972513751059195,0.9988046438292084,-54.467803955078125,0.921708984375,0,0.0,3.5420489369193175,0.8129129649246642,4096
12,CONV2D,64,64,LEVEL.LAYER,Layer level,0.06834927201271057,0.0,3.093134880065918,0.4903988540172577,2.296679973602295,0.3611004948616028,1.5664616132974158,-0.02820715606514692,0.9593856930732727,-0.018006762489676476,9.972513751059195,0.9988046438292084,-54.467803955078125,0.921708984375,0.0,0.0,3.5420489369193175,0.8129129649246642,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.47250285744667053,False,2.672879695892334,0.4269794225692749,2.129209041595459,0.3282183110713959,1.8448577411461078,0.3247047473083602,1.4997037649154663,0.17600548267364502,4.763799976742086,0.6779535179616899,4.851892471313477,0.9486328125000001,0,0.0,2.4002195411250917,0.6659250138278641,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.7276177704334259,True,4.116027355194092,0.6144782304763794,6.479356288909912,0.8115318417549133,1.9758971713195956,1.2955912373127654,4.52582311630249,0.6556975841522217,3.7433360023081907,0.5732588111911203,1.8742729425430298,0.9785156250000003,2,0.031746031746031744,0.8462482966054753,1.6098487588870387,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.5696152299642563,True,3.2222301959991455,0.5081565380096436,3.763845205307007,0.5756317377090454,2.09277866693344,1.022538113470724,3.080369472503662,0.48860281705856323,3.370621890681031,0.5277100370060352,2.080038070678711,0.9641601562500002,0,0.0,1.2071334164188992,1.1817956418134836,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.7429195046424866,True,4.202587127685547,0.6235167384147644,7.198953628540039,0.8572693467140198,2.0299153717133986,1.4808982702319589,5.364596843719482,0.7295370697975159,3.292278229591979,0.5174965302068627,1.709349274635315,0.9787109375000003,2,0.031746031746031744,0.7142198883930143,1.7332399025068945,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,1.2227960228919983,True,6.917178630828857,0.8399289846420288,15.73728084564209,1.196929693222046,1.4243407851853027,1.42384642805286,9.992008209228516,0.9996528029441833,4.78856135299787,0.6802050561494053,1.6804412603378296,1.0167968750000003,4,0.06349206349206349,0.4138810006277333,1.9534367666721753,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.8772170841693878,True,4.9622883796691895,0.6956819891929626,8.390297889709473,0.9237774014472961,2.249317845972022,1.7349887214720032,5.906632900238037,0.7713399529457092,4.168924510985054,0.6200240311878333,1.803827166557312,0.9852539062500002,2,0.031746031746031744,0.6573797804442961,2.002210273847735,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.5652047395706177,True,3.1972808837890625,0.5047807693481445,3.8715803623199463,0.5878883004188538,2.074747196885527,1.0639322960831779,3.256878137588501,0.5128015279769897,3.1387784335556144,0.4967606599242039,1.9687201976776123,0.9656250000000002,0,0.0,1.1451860706913217,1.2028066533039012,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.8302186131477356,True,4.696425437927246,0.6717674136161804,7.543476581573486,0.8775715231895447,2.269733193452424,1.683416315202853,5.516703128814697,0.7416796088218689,3.998108927796487,0.6018546222224439,1.8114744424819946,0.9799804687500002,1,0.015873015873015872,0.6963291556973401,1.9117365860349969,4096
16,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6881266236305237,True,3.892632007598877,0.5902433395385742,5.410819053649902,0.7332630157470703,1.5369832072292522,0.9778735309469074,4.327418327331543,0.6362288594245911,3.5015273139017666,0.5442575184408431,1.8554426431655884,0.9719726562500003,1,0.015873015873015872,0.8732506528738575,1.2838237728749555,4096
16,CONV2D,576,576,LEVEL.LAYER,Layer level,0.7440242717663447,0.8888888888888888,4.208837032318115,0.608392596244812,6.724980354309082,0.7657868266105652,1.9442856866485636,1.2230877400090676,4.830015182495117,0.6346161365509033,3.8628818487288976,0.5821689760322708,2.18171763420105,0.9766276041666669,1.3333333333333333,0.021164021164021163,0.9948719780974477,1.5049803744187829,331776
20,CONV2D,256,64,LEVEL.SLICE,Slice level,0.041195932775735855,False,3.7286300659179688,0.5715492963790894,3.2143938541412354,0.5070990920066833,3.259020460590433,1.2197170425633652,2.367331027984619,0.37425899505615234,5.8727271111927,0.768839820891204,3.054299831390381,0.33820312500000005,19,0.30158730158730157,0.1087123737713259,1.2735244393874376,16384
20,CONV2D,256,64,LEVEL.LAYER,Layer level,0.041195932775735855,0.0,3.7286300659179688,0.5715492963790894,3.2143938541412354,0.5070990920066833,3.259020460590433,1.2197170425633652,2.367331027984619,0.37425899505615234,5.8727271111927,0.768839820891204,3.054299831390381,0.33820312500000005,19.0,0.30158730158730157,0.1087123737713259,1.2735244393874376,16384
23,CONV2D,256,64,LEVEL.SLICE,Slice level,0.061349887400865555,False,5.55275821685791,0.7445087432861328,6.895980358123779,0.838595986366272,3.7800051360836298,2.6969026231006312,5.169700622558594,0.7134653925895691,5.964200099351409,0.7755522056371521,2.087021589279175,0.39796875000000026,28,0.4444444444444444,0.06893109005772749,2.717187447935682,16384
23,CONV2D,256,64,LEVEL.LAYER,Layer level,0.061349887400865555,0.0,5.55275821685791,0.7445087432861328,6.895980358123779,0.838595986366272,3.7800051360836298,2.6969026231006312,5.169700622558594,0.7134653925895691,5.964200099351409,0.7755522056371521,2.087021589279175,0.39796875000000026,28.0,0.4444444444444444,0.06893109005772749,2.717187447935682,16384
29,CONV2D,256,64,LEVEL.SLICE,Slice level,0.036825619637966156,False,3.3330745697021484,0.5228450298309326,2.1114280223846436,0.3245762884616852,4.885866411413933,0.11763730637977501,1.0570043325424194,0.02407676726579666,10.510248521651304,1.021612985324696,43.43094253540039,0.4010937500000001,10,0.15873015873015872,0.34245005963255537,0.24146812180823343,16384
29,CONV2D,256,64,LEVEL.LAYER,Layer level,0.036825619637966156,0.0,3.3330745697021484,0.5228450298309326,2.1114280223846436,0.3245762884616852,4.885866411413933,0.11763730637977501,1.0570043325424194,0.02407676726579666,10.510248521651304,1.021612985324696,43.43094253540039,0.4010937500000001,10.0,0.15873015873015872,0.34245005963255537,0.24146812180823343,16384
33,CONV2D,64,64,LEVEL.SLICE,Slice level,0.5654495358467102,True,3.1986653804779053,0.5049688220024109,2.3979687690734863,0.379843533039093,2.875930547570798,0.3740811169424081,1.3491888046264648,0.1300727277994156,7.5834099030133375,0.8798645313664303,7.764386177062988,0.9280371093750001,0,0.0,2.553392641713404,0.7101841081956534,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,0.8933669328689575,True,5.053646087646484,0.7036048173904419,7.864587306976318,0.8956759572029114,3.304433701123962,2.5724412374828454,6.0045671463012695,0.7784817218780518,4.253318944808756,0.6287279504960306,1.8076335191726685,0.9680664062500003,1,0.015873015873015872,0.624293171564957,2.6382947779656067,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6050755530595779,True,3.4228241443634033,0.5343846082687378,2.5997910499572754,0.41493844985961914,2.3508204058366933,0.2494967299576724,1.2768250703811646,0.1061314046382904,9.175661799653204,0.9626373977821374,10.070209503173828,0.9255761718750001,0,0.0,2.6838148778886053,0.7897167187650678,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,0.9410575926303864,True,5.32342529296875,0.7261911630630493,10.160477638244629,1.0069141387939453,1.7773604372387544,1.668456268878696,8.684144020080566,0.9387270212173462,3.2632871177950573,0.5136552865333087,1.5471827983856201,0.9666015625000002,1,0.015873015873015872,0.4303560965672579,1.8516274258404026,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,1.1367397606372833,True,6.430370330810547,0.8082360029220581,10.555928230285645,1.023496389389038,1.4801963915231549,1.066346237452115,5.253021717071533,0.7204092144966125,7.871605548037918,0.8960633231516096,2.2438266277313232,0.9919921875000002,2,0.031746031746031744,0.7493209079469094,1.7949260513080052,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,1.1004376709461212,True,6.225015163421631,0.7941403985023499,13.605103492736816,1.1337018013000488,1.5709775068502954,1.6657829106977353,11.490730285644531,1.0603476762771606,3.372351552110199,0.5279328415112279,1.497886300086975,0.9772460937500004,1,0.015873015873015872,0.3324450618537076,1.9221712743473789,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6159354597330093,True,3.4842567443847656,0.5421101450920105,2.7963218688964844,0.44658714532852173,2.2789845041257006,0.36661592596116255,1.4483331441879272,0.16086846590042114,8.382087236131786,0.9233521764183108,6.739808082580566,0.9327832031250001,0,0.0,2.4029974696713583,0.8762640793003401,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,1.0975652039051056,True,6.208766460418701,0.7930053472518921,13.593060493469238,1.133317232131958,1.673960393841393,1.762055254312498,11.288240432739258,1.0526262521743774,3.4149473935796597,0.5333840178699557,1.506717324256897,0.9777343750000004,2,0.031746031746031744,0.33874675370976864,1.9987501353486201,4096
33,CONV2D,64,64,LEVEL.SLICE,Slice level,0.7214490920305252,True,4.081132411956787,0.610780656337738,3.81685471534729,0.581705629825592,2.13639303266392,0.5344615561840892,1.7789771556854248,0.25017037987709045,9.362488698926356,0.9713913064888969,4.8829240798950195,0.9484375000000002,0,0.0,2.0225877585608547,1.169987120349519,4096
33,CONV2D,576,576,LEVEL.LAYER,Layer level,0.8530085335175196,1.0,4.825344562530518,0.6686024069786072,7.487788677215576,0.7795755863189697,2.1610063245305193,1.1399708042076915,5.397113800048828,0.5775372385978699,6.29768424378403,0.7596676479575453,4.228952407836914,0.9573860677083336,0.7777777777777778,0.012345679012345678,1.348661637719647,1.5279912990467328,331776
37,CONV2D,256,64,LEVEL.SLICE,Slice level,0.04091780632734299,False,3.7034568786621094,0.5686072707176208,2.2694735527038574,0.3559251129627228,5.068882308303921,-0.5970707025186446,0.762412965297699,-0.1178097277879715,17.988957078392648,1.2550059855674256,-9.654479026794434,0.4761132812500002,6,0.09523809523809523,0.6689513024024085,-0.14692133770217822,16384
