layer_id,layer_type,N,M,level,comment,check,checkTF,norm,log_norm,normX,lognormX,alpha,alpha_weighted,spectral_norm,log_spectral_norm,stable_rank,log_stable_rank,softranklogratio,sigma_mp,numofSpikes,ratio_numofSpikes,mp_softrank,log_alpha_norm,NxM
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6200671792030334,True,3.507629632949829,0.5450137257575989,5.117900848388672,0.70909184217453,3.0726821480229285,1.9448673764341302,4.294910430908203,0.6329541206359863,2.8646605004638928,0.457073159807165,1.7221266031265259,1.16787109375,0,0.0,1.2702684331577236,1.9890968983049793,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.749072402715683,True,4.237392902374268,0.6270987391471863,7.987809658050537,0.9024277329444885,2.410627648767058,2.0330561182534677,6.9722418785095215,0.8433724641799927,2.5752852396019312,0.41082533866827725,1.4871222972869873,1.17275390625,1,0.015873015873015872,0.7890447768543496,2.102903047926839,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6265815496444702,True,3.544480323791504,0.5495525598526001,4.94268274307251,0.6939627528190613,1.6905313400902013,0.9339523798893543,3.568295478820801,0.552460789680481,3.520823600235366,0.5466442666596489,1.9894715547561646,1.1653320312500002,0,0.0,1.522293845502341,1.2748490260994059,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.8116152584552765,True,4.591188907623291,0.6619251370429993,9.317394256591797,0.9692944884300232,1.5286226994972985,1.3841523571646488,8.044330596923828,0.9054899215698242,2.6203571177214964,0.4183604835666064,1.462026596069336,1.1777343750000004,1,0.015873015873015872,0.6897073191030191,1.6094747697977605,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,1.0465647876262665,True,5.92026424407959,0.7723410725593567,15.794514656066895,1.198506236076355,2.187939165693294,2.486356558554798,13.689647674560547,1.1363922357559204,2.560296445420157,0.4082902532636023,1.3592865467071533,1.2045898437500004,1,0.015873015873015872,0.4239810514032937,2.5852629731236294,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.7681944072246552,True,4.3455634117126465,0.6380460858345032,8.273453712463379,0.9176868200302124,2.1995050816838546,1.8373318724969845,6.844449996948242,0.8353385329246521,2.7590107817158955,0.4407533976269092,1.5276342630386353,1.1764648437500003,1,0.015873015873015872,0.8088706954087614,1.9746202944371458,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6986183077096939,True,3.951981782913208,0.5968149304389954,5.933831691741943,0.7733352184295654,2.896210696185064,1.8558258681588347,4.3729753494262695,0.640777051448822,3.5715163576006805,0.5528526435406239,1.862784504890442,1.1745117187500003,0,0.0,1.2618202167357744,1.9973505256545514,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.7834120094776154,True,4.431647300720215,0.6465651988983154,8.435300827026367,0.9261005520820618,1.6809750337970382,1.4178128981024827,6.973438262939453,0.8434469699859619,2.816330807805933,0.44968366594120185,1.53315007686615,1.1768554687500004,1,0.015873015873015872,0.7944371196754569,1.6437896413109105,4096
5,CONV2D,64,64,LEVEL.SLICE,Slice level,0.6187032759189606,True,3.4999141693115234,0.5440573692321777,4.7366743087768555,0.6754735112190247,4.079714366055951,2.2949127682239956,3.6518914699554443,0.5625178813934326,3.3542607580101165,0.5255968213478743,1.9343645572662354,1.1644531250000005,0,0.0,1.4852037497583606,2.3321402580218833,4096
5,CONV2D,576,576,LEVEL.LAYER,Layer level,0.7469810197750727,1.0,4.22556209564209,0.6201571822166443,7.837728500366211,0.8628754615783691,2.4163120199769654,1.7986964663642995,6.4902424812316895,0.772527813911438,2.9602824009528295,0.4677866700468788,1.6531074047088623,1.1756184895833337,0.5555555555555556,0.008818342151675485,1.005069689733231,1.9454986038530118,331776
