layer_id,layer_type,N,M,level,comment,check,checkTF,norm,log_norm,normX,lognormX,alpha,alpha_weighted,spectral_norm,log_spectral_norm,stable_rank,log_stable_rank,softranklogratio,sigma_mp,numofSpikes,ratio_numofSpikes,mp_softrank,log_alpha_norm,NxM
1,CONV1D,50257,1280,LEVEL.SLICE,Slice level,0.05768210903240945,False,327.1368103027344,2.5147294998168945,11624.4169921875,4.065371036529541,2.6784783986209373,10.816049843577433,10917.71484375,4.0381317138671875,9.802266658774364,0.9913265127918964,1.2454913854599,0.3,1279,1.0,1.1084583676584191e-05,10.821744985289458,64328960
1,CONV1D,50257,1280,LEVEL.LAYER,Layer level,0.05768210903240945,0.0,327.1368103027344,2.5147294998168945,11624.4169921875,4.065371036529541,2.6784783986209373,10.816049843577433,10917.71484375,4.0381317138671875,9.802266658774364,0.9913265127918964,1.2454913854599,0.3,1279.0,1.0,1.1084583676584191e-05,10.821744985289458,64328960
2,CONV1D,1280,1024,LEVEL.SLICE,Slice level,0.026057810038223567,False,21.094919204711914,1.324177861213684,208.25465393066406,2.3185946941375732,1.8608336678707569,3.942007081297869,131.34347534179688,2.118408441543579,3.3880249181587336,0.5299465958083273,1.2501624822616577,0.3,19,0.01857282502443793,0.002459173596003164,4.351038187663544,1310720
2,CONV1D,1280,1024,LEVEL.LAYER,Layer level,0.026057810038223567,0.0,21.094919204711914,1.324177861213684,208.25465393066406,2.3185946941375732,1.8608336678707569,3.942007081297869,131.34347534179688,2.118408441543579,3.3880249181587336,0.5299465958083273,1.2501624822616577,0.3,19.0,0.01857282502443793,0.002459173596003164,4.351038187663544,1310720
8,CONV1D,3840,1280,LEVEL.SLICE,Slice level,0.057514747415610544,False,90.16434478759766,1.955034852027893,500.33819580078125,2.699263572692871,3.6302382040434917,8.179705714486383,179.14886474609375,2.253214120864868,45.37901365000069,1.6568550519055205,1.735329508781433,0.9999975585937502,603,0.47146207974980453,0.013887995036647168,8.563553021272233,4915200
8,CONV1D,3840,1280,LEVEL.LAYER,Layer level,0.057514747415610544,0.0,90.16434478759766,1.955034852027893,500.33819580078125,2.699263572692871,3.6302382040434917,8.179705714486383,179.14886474609375,2.253214120864868,45.37901365000069,1.6568550519055205,1.735329508781433,0.9999975585937502,603.0,0.47146207974980453,0.013887995036647168,8.563553021272233,4915200
9,CONV1D,1280,1280,LEVEL.SLICE,Slice level,0.03114716112613678,False,28.191190719604492,1.4501134157180786,37.8768424987793,1.5783737897872925,4.097535531348107,4.294125315687061,11.168069839477539,1.047978162765503,71.16219396459736,1.8522493291256301,2.767451286315918,0.9751953125000004,9,0.007036747458952306,0.3406164934639303,4.625875797417155,1638400
9,CONV1D,1280,1280,LEVEL.LAYER,Layer level,0.03114716112613678,0.0,28.191190719604492,1.4501134157180786,37.8768424987793,1.5783737897872925,4.097535531348107,4.294125315687061,11.168069839477539,1.047978162765503,71.16219396459736,1.8522493291256301,2.767451286315918,0.9751953125000004,9.0,0.007036747458952306,0.3406164934639303,4.625875797417155,1638400
14,CONV1D,5120,1280,LEVEL.SLICE,Slice level,0.04746599495410919,False,85.9226303100586,1.9341075420379639,505.7120666503906,2.7039031982421875,2.440679010003823,6.239605097111352,360.1673889160156,2.556504487991333,20.49799260624641,1.3117113321427287,1.5130879878997803,0.3,1279,1.0,0.0005622393386041576,6.360353956423515,6553600
14,CONV1D,5120,1280,LEVEL.LAYER,Layer level,0.04746599495410919,0.0,85.9226303100586,1.9341075420379639,505.7120666503906,2.7039031982421875,2.440679010003823,6.239605097111352,360.1673889160156,2.556504487991333,20.49799260624641,1.3117113321427287,1.5130879878997803,0.3,1279.0,1.0,0.0005622393386041576,6.360353956423515,6553600
15,CONV1D,5120,1280,LEVEL.SLICE,Slice level,0.031312528252601626,False,56.681732177734375,1.7534431219100952,128.67575073242188,2.109496593475342,4.647557239957132,8.548390708764511,69.07636260986328,1.839329481124878,46.511072500246286,1.6675563540367484,1.9066108465194702,0.9999975585937502,606,0.473807662236122,0.032572455932862926,8.560784572090759,6553600
15,CONV1D,5120,1280,LEVEL.LAYER,Layer level,0.031312528252601626,0.0,56.681732177734375,1.7534431219100952,128.67575073242188,2.109496593475342,4.647557239957132,8.548390708764511,69.07636260986328,1.839329481124878,46.511072500246286,1.6675563540367484,1.9066108465194702,0.9999975585937502,606.0,0.473807662236122,0.032572455932862926,8.560784572090759,6553600
20,CONV1D,3840,1280,LEVEL.SLICE,Slice level,0.05295363577266913,False,83.01400756835938,1.9191514253616333,415.6352844238281,2.6187124252319336,2.8577861782599285,6.379393283910436,170.72027587890625,2.2322850227355957,40.366191004005806,1.6060177708622179,1.7194501161575317,0.9999316406250002,573,0.4480062548866302,0.014571757084465651,6.790138928768519,4915200
20,CONV1D,3840,1280,LEVEL.LAYER,Layer level,0.05295363577266913,0.0,83.01400756835938,1.9191514253616333,415.6352844238281,2.6187124252319336,2.8577861782599285,6.379393283910436,170.72027587890625,2.2322850227355957,40.366191004005806,1.6060177708622179,1.7194501161575317,0.9999316406250002,573.0,0.4480062548866302,0.014571757084465651,6.790138928768519,4915200
21,CONV1D,1280,1280,LEVEL.SLICE,Slice level,0.03457079827785492,False,31.289915084838867,1.4954043626785278,97.226806640625,1.987786054611206,2.9354996902173047,5.335423596242221,65.6980209350586,1.8175523281097412,14.902416177234686,1.1732566876988435,1.645514726638794,0.9813476562500003,26,0.020328381548084442,0.05863456195890758,5.51113972598166,1638400
21,CONV1D,1280,1280,LEVEL.LAYER,Layer level,0.03457079827785492,0.0,31.289915084838867,1.4954043626785278,97.226806640625,1.987786054611206,2.9354996902173047,5.335423596242221,65.6980209350586,1.8175523281097412,14.902416177234686,1.1732566876988435,1.645514726638794,0.9813476562500003,26.0,0.020328381548084442,0.05863456195890758,5.51113972598166,1638400
26,CONV1D,5120,1280,LEVEL.SLICE,Slice level,0.048599088191986085,False,87.97373962402344,1.9443531036376953,537.05859375,2.7300217151641846,2.855464358548037,7.5476537117807645,439.77630615234375,2.6432318687438965,17.598450654611742,1.2454744347589668,1.4711939096450806,0.3,1279,1.0,0.000460461528799837,7.563900399704473,6553600
26,CONV1D,5120,1280,LEVEL.LAYER,Layer level,0.048599088191986085,0.0,87.97373962402344,1.9443531036376953,537.05859375,2.7300217151641846,2.855464358548037,7.5476537117807645,439.77630615234375,2.6432318687438965,17.598450654611742,1.2454744347589668,1.4711939096450806,0.3,1279.0,1.0,0.000460461528799837,7.563900399704473,6553600
27,CONV1D,5120,1280,LEVEL.SLICE,Slice level,0.039377361536026,False,71.2806396484375,1.8529715538024902,272.5623779296875,2.4354658126831055,3.8637700364938476,8.923385108968478,203.9402313232422,2.3095028400421143,24.913856172851386,1.3964409529470871,1.6046502590179443,0.3,1279,1.0,0.0009929395335989044,8.928947996590455,6553600
27,CONV1D,5120,1280,LEVEL.LAYER,Layer level,0.039377361536026,0.0,71.2806396484375,1.8529715538024902,272.5623779296875,2.4354658126831055,3.8637700364938476,8.923385108968478,203.9402313232422,2.3095028400421143,24.913856172851386,1.3964409529470871,1.6046502590179443,0.3,1279.0,1.0,0.0009929395335989044,8.928947996590455,6553600
32,CONV1D,3840,1280,LEVEL.SLICE,Slice level,0.050970270247385534,False,79.90473937988281,1.902572512626648,349.6922302246094,2.5436859130859375,2.9895463553580335,6.336439489453176,131.683837890625,2.119532585144043,48.485619887551174,1.6856129524267733,1.7952759265899658,0.9999975585937502,625,0.48866301798279904,0.01889391880634053,6.795846986171077,4915200
32,CONV1D,3840,1280,LEVEL.LAYER,Layer level,0.050970270247385534,0.0,79.90473937988281,1.902572512626648,349.6922302246094,2.5436859130859375,2.9895463553580335,6.336439489453176,131.683837890625,2.119532585144043,48.485619887551174,1.6856129524267733,1.7952759265899658,0.9999975585937502,625.0,0.48866301798279904,0.01889391880634053,6.795846986171077,4915200
33,CONV1D,1280,1280,LEVEL.SLICE,Slice level,0.03664079606533051,False,33.16345977783203,1.5206598043441772,119.95269012451172,2.079010009765625,2.450095793380382,4.834763757880104,94.0362548828125,1.9732953310012817,11.695635202693746,1.0680238137923188,1.54123854637146,0.9915039062500003,50,0.039093041438623924,0.041817011999884815,4.954504857838373,1638400
33,CONV1D,1280,1280,LEVEL.LAYER,Layer level,0.03664079606533051,0.0,33.16345977783203,1.5206598043441772,119.95269012451172,2.079010009765625,2.450095793380382,4.834763757880104,94.0362548828125,1.9732953310012817,11.695635202693746,1.0680238137923188,1.54123854637146,0.9915039062500003,50.0,0.039093041438623924,0.041817011999884815,4.954504857838373,1638400
38,CONV1D,5120,1280,LEVEL.SLICE,Slice level,0.04889698028564453,False,88.51297760009766,1.9470069408416748,558.0301513671875,2.746657609939575,2.7703731904144004,7.373938677424155,458.8956604003906,2.6617138385772705,17.072647494111184,1.2323008733659533,1.4629727602005005,0.3,1279,1.0,0.00044127772042688385,7.39616106219118,6553600
38,CONV1D,5120,1280,LEVEL.LAYER,Layer level,0.04889698028564453,0.0,88.51297760009766,1.9470069408416748,558.0301513671875,2.746657609939575,2.7703731904144004,7.373938677424155,458.8956604003906,2.6617138385772705,17.072647494111184,1.2323008733659533,1.4629727602005005,0.3,1279.0,1.0,0.00044127772042688385,7.39616106219118,6553600
39,CONV1D,5120,1280,LEVEL.SLICE,Slice level,0.04110387265682221,False,74.40595245361328,1.8716076612472534,258.04541015625,2.411696195602417,3.9808454588123667,8.850964799393417,167.25820922851562,2.2233874797821045,33.09994497626734,1.5198272718263734,1.6835635900497437,0.9999975585937502,878,0.6864738076622361,0.013452169193024548,8.863248376475632,6553600
39,CONV1D,5120,1280,LEVEL.LAYER,Layer level,0.04110387265682221,0.0,74.40595245361328,1.8716076612472534,258.04541015625,2.411696195602417,3.9808454588123667,8.850964799393417,167.25820922851562,2.2233874797821045,33.09994497626734,1.5198272718263734,1.6835635900497437,0.9999975585937502,878.0,0.6864738076622361,0.013452169193024548,8.863248376475632,6553600
44,CONV1D,3840,1280,LEVEL.SLICE,Slice level,0.05104081640068288,False,80.01532745361328,1.9031732082366943,339.19403076171875,2.5304481983184814,3.168966861076669,6.56624448456204,118.04450988769531,2.0720458030700684,54.237623758767306,1.7343006541064023,1.8369991779327393,0.9999975585937502,644,0.5035183737294762,0.021076983655618053,7.0765521791142945,4915200
