layer_id,layer_type,N,M,level,comment,check,checkTF,norm,log_norm,normX,lognormX,alpha,alpha_weighted,spectral_norm,log_spectral_norm,stable_rank,log_stable_rank,softranklogratio,sigma_mp,numofSpikes,ratio_numofSpikes,mp_softrank,log_alpha_norm,NxM
10,CONV2D,128,64,LEVEL.SLICE,Slice level,0.05660200582823599,False,3.622528314590454,0.5590118169784546,2.954545736312866,0.4704907238483429,1.3668461670631802,0.01656405106858518,1.0282915830612183,0.012116281315684319,12.761600327338481,1.1059051390992944,92.25806427001953,0.39701171875,12,0.19047619047619047,0.44669344708723874,1.0345793711981928,8192
10,CONV2D,128,64,LEVEL.LAYER,Layer level,0.05660200582823599,0.0,3.622528314590454,0.5590118169784546,2.954545736312866,0.4704907238483429,1.3668461670631802,0.01656405106858518,1.0282915830612183,0.012116281315684319,12.761600327338481,1.1059051390992944,92.25806427001953,0.39701171875,12.0,0.19047619047619047,0.44669344708723874,1.0345793711981928,8192
17,CONV2D,128,96,LEVEL.SLICE,Slice level,0.04845733109535865,False,3.7982635498046875,0.579585075378418,2.895864248275757,0.4617781937122345,1.4743411865454084,0.1204164656213616,1.206908941268921,0.0816745012998581,11.953508875760807,1.0774954083548955,14.192509651184082,0.46962890625,5,0.05263157894736842,0.6363118080140423,1.018528865173535,12288
17,CONV2D,128,96,LEVEL.LAYER,Layer level,0.04845733109535865,0.0,3.7982635498046875,0.579585075378418,2.895864248275757,0.4617781937122345,1.4743411865454084,0.1204164656213616,1.206908941268921,0.0816745012998581,11.953508875760807,1.0774954083548955,14.192509651184082,0.46962890625,5.0,0.05263157894736842,0.6363118080140423,1.018528865173535,12288
24,CONV2D,128,128,LEVEL.SLICE,Slice level,0.04187138378620148,False,3.789764881134033,0.5786122679710388,2.4304044246673584,0.38567855954170227,2.652969725477446,-0.15130448636756316,0.876914918422699,-0.05704254284501076,16.377841678400962,1.214256668552535,-20.29074478149414,0.9116894531250002,0,0.0,3.791280996243751,0.6008710168035094,16384
24,CONV2D,128,128,LEVEL.LAYER,Layer level,0.04187138378620148,0.0,3.789764881134033,0.5786122679710388,2.4304044246673584,0.38567855954170227,2.652969725477446,-0.15130448636756316,0.876914918422699,-0.05704254284501076,16.377841678400962,1.214256668552535,-20.29074478149414,0.9116894531250002,0.0,0.0,3.791280996243751,0.6008710168035094,16384
31,CONV2D,160,128,LEVEL.SLICE,Slice level,0.035645382839267256,False,3.6070590019226074,0.5571532249450684,2.2191572189331055,0.3461880683898926,3.6814262214157414,-0.3152754428207066,0.8210312128067017,-0.0856403335928917,15.846960330937504,1.1999459707745588,-13.011597633361816,0.45878906249999996,1,0.007874015748031496,0.9200711851830629,0.24986355902698684,20480
31,CONV2D,160,128,LEVEL.LAYER,Layer level,0.035645382839267256,0.0,3.6070590019226074,0.5571532249450684,2.2191572189331055,0.3461880683898926,3.6814262214157414,-0.3152754428207066,0.8210312128067017,-0.0856403335928917,15.846960330937504,1.1999459707745588,-13.011597633361816,0.45878906249999996,1.0,0.007874015748031496,0.9200711851830629,0.24986355902698684,20480
38,CONV2D,192,128,LEVEL.SLICE,Slice level,0.02938915495015578,False,3.257824420928955,0.5129276514053345,1.7565118074417114,0.24465107917785645,4.541340197477712,-0.8005112766248883,0.6663878560066223,-0.1762729287147522,15.926757580556801,1.2021273697620989,-5.819728374481201,0.39292968750000007,3,0.023622047244094488,0.764488378309097,-0.3657002291806338,24576
38,CONV2D,192,128,LEVEL.LAYER,Layer level,0.02938915495015578,0.0,3.257824420928955,0.5129276514053345,1.7565118074417114,0.24465107917785645,4.541340197477712,-0.8005112766248883,0.6663878560066223,-0.1762729287147522,15.926757580556801,1.2021273697620989,-5.819728374481201,0.39292968750000007,3.0,0.023622047244094488,0.764488378309097,-0.3657002291806338,24576
