layer_id,layer_type,N,M,level,comment,check,checkTF,norm,log_norm,normX,lognormX,alpha,alpha_weighted,spectral_norm,log_spectral_norm,stable_rank,log_stable_rank,softranklogratio,sigma_mp,numofSpikes,ratio_numofSpikes,mp_softrank,log_alpha_norm,NxM
10,CONV2D,128,64,LEVEL.SLICE,Slice level,0.052271369728537055,False,3.345367670059204,0.5244438648223877,2.405665636062622,0.381235271692276,2.5829004623392726,-0.06573469307310546,0.943082869052887,-0.025450143963098526,11.866910021281686,1.0743376494174914,-41.21376037597656,0.40820312499999994,7,0.1111111111111111,0.5149012867116528,0.6547193562620575,8192
10,CONV2D,128,64,LEVEL.LAYER,Layer level,0.052271369728537055,0.0,3.345367670059204,0.5244438648223877,2.405665636062622,0.381235271692276,2.5829004623392726,-0.06573469307310546,0.943082869052887,-0.025450143963098526,11.866910021281686,1.0743376494174914,-41.21376037597656,0.40820312499999994,7.0,0.1111111111111111,0.5149012867116528,0.6547193562620575,8192
17,CONV2D,128,96,LEVEL.SLICE,Slice level,0.044756965973582336,False,3.5082154273986816,0.5450862646102905,2.511723279953003,0.39997178316116333,1.8080377294273977,0.051074286587759817,1.0672072172164917,0.028248753398656845,11.532515849771784,1.0619240601555433,38.5922966003418,0.41115234375,7,0.07368421052631578,0.5515592619146715,0.8391792683666338,12288
17,CONV2D,128,96,LEVEL.LAYER,Layer level,0.044756965973582336,0.0,3.5082154273986816,0.5450862646102905,2.511723279953003,0.39997178316116333,1.8080377294273977,0.051074286587759817,1.0672072172164917,0.028248753398656845,11.532515849771784,1.0619240601555433,38.5922966003418,0.41115234375,7.0,0.07368421052631578,0.5515592619146715,0.8391792683666338,12288
24,CONV2D,128,128,LEVEL.SLICE,Slice level,0.03749557584524155,False,3.393712282180786,0.5306749939918518,2.1281330585479736,0.3279987871646881,3.1576300827541814,0.03334959162684826,1.024618148803711,0.010562044568359852,11.240572394083188,1.0507884270037173,100.49127197265625,0.9300585937500001,0,0.0,3.3769063902490624,0.4335529259999407,16384
24,CONV2D,128,128,LEVEL.LAYER,Layer level,0.03749557584524155,0.0,3.393712282180786,0.5306749939918518,2.1281330585479736,0.3279987871646881,3.1576300827541814,0.03334959162684826,1.024618148803711,0.010562044568359852,11.240572394083188,1.0507884270037173,100.49127197265625,0.9300585937500001,0.0,0.0,3.3769063902490624,0.4335529259999407,16384
31,CONV2D,160,128,LEVEL.SLICE,Slice level,0.03271129611789046,False,3.310150384902954,0.5198477506637573,1.8663994073867798,0.2710045874118805,5.3997518986007575,-0.46919384106445505,0.8186677694320679,-0.08689230680465698,13.384038527892637,1.1265871781356807,-11.965414047241211,0.4457031250000001,1,0.007874015748031496,0.8708411316046928,-0.2969338135665184,20480
31,CONV2D,160,128,LEVEL.LAYER,Layer level,0.03271129611789046,0.0,3.310150384902954,0.5198477506637573,1.8663994073867798,0.2710045874118805,5.3997518986007575,-0.46919384106445505,0.8186677694320679,-0.08689230680465698,13.384038527892637,1.1265871781356807,-11.965414047241211,0.4457031250000001,1.0,0.007874015748031496,0.8708411316046928,-0.2969338135665184,20480
38,CONV2D,192,128,LEVEL.SLICE,Slice level,0.027054006374898534,False,2.9989702701568604,0.47697216272354126,1.581566572189331,0.1990874707698822,1.6222642791744617,-0.3311733691892258,0.6249621510505676,-0.20414628088474274,14.39086891663097,1.1580870173073639,-4.672929286956787,0.35984375000000013,4,0.031496062992125984,0.683659381130109,0.5787527932762152,24576
38,CONV2D,192,128,LEVEL.LAYER,Layer level,0.027054006374898534,0.0,2.9989702701568604,0.47697216272354126,1.581566572189331,0.1990874707698822,1.6222642791744617,-0.3311733691892258,0.6249621510505676,-0.20414628088474274,14.39086891663097,1.1580870173073639,-4.672929286956787,0.35984375000000013,4.0,0.031496062992125984,0.683659381130109,0.5787527932762152,24576
